,State,Year,PacksPerCapita,treated
0,Alabama,1970,89.80000305,0
1,Arkansas,1970,100.3000031,0
2,Colorado,1970,124.8000031,0
3,Connecticut,1970,120.0,0
4,Delaware,1970,155.0,0
5,Georgia,1970,109.9000015,0
6,Idaho,1970,102.4000015,0
7,Illinois,1970,124.8000031,0
8,Indiana,1970,134.6000061,0
9,Iowa,1970,108.5,0
10,Kansas,1970,114.0,0
11,Kentucky,1970,155.8000031,0
12,Louisiana,1970,115.9000015,0
13,Maine,1970,128.5,0
14,Minnesota,1970,104.3000031,0
15,Mississippi,1970,93.40000153,0
16,Missouri,1970,121.3000031,0
17,Montana,1970,111.1999969,0
18,Nebraska,1970,108.0999985,0
19,Nevada,1970,189.5,0
20,New Hampshire,1970,265.7000122,0
21,New Mexico,1970,90.0,0
22,North Carolina,1970,172.3999939,0
23,North Dakota,1970,93.80000305,0
24,Ohio,1970,121.5999985,0
25,Oklahoma,1970,108.4000015,0
26,Pennsylvania,1970,107.3000031,0
27,Rhode Island,1970,123.9000015,0
28,South Carolina,1970,103.5999985,0
29,South Dakota,1970,92.69999695,0
30,Tennessee,1970,99.80000305,0
31,Texas,1970,106.4000015,0
32,Utah,1970,65.5,0
33,Vermont,1970,122.5999985,0
34,Virginia,1970,124.3000031,0
35,West Virginia,1970,114.5,0
36,Wisconsin,1970,106.4000015,0
37,Wyoming,1970,132.1999969,0
38,California,1970,123.0,0
39,Alabama,1971,95.40000153,0
40,Arkansas,1971,104.0999985,0
41,Colorado,1971,125.5,0
42,Connecticut,1971,117.5999985,0
43,Delaware,1971,161.1000061,0
44,Georgia,1971,115.6999969,0
45,Idaho,1971,108.5,0
46,Illinois,1971,125.5999985,0
47,Indiana,1971,139.3000031,0
48,Iowa,1971,108.4000015,0
49,Kansas,1971,102.8000031,0
50,Kentucky,1971,163.5,0
51,Louisiana,1971,119.8000031,0
52,Maine,1971,133.1999969,0
53,Minnesota,1971,116.4000015,0
54,Mississippi,1971,105.4000015,0
55,Missouri,1971,127.5999985,0
56,Montana,1971,115.5999985,0
57,Nebraska,1971,108.5999985,0
58,Nevada,1971,190.5,0
59,New Hampshire,1971,278.0,0
60,New Mexico,1971,92.59999847,0
61,North Carolina,1971,187.6000061,0
62,North Dakota,1971,98.5,0
63,Ohio,1971,124.5999985,0
64,Oklahoma,1971,115.4000015,0
65,Pennsylvania,1971,106.3000031,0
66,Rhode Island,1971,123.1999969,0
67,South Carolina,1971,115.0,0
68,South Dakota,1971,96.69999695,0
69,Tennessee,1971,106.3000031,0
70,Texas,1971,108.9000015,0
71,Utah,1971,67.69999695,0
72,Vermont,1971,124.4000015,0
73,Virginia,1971,128.3999939,0
74,West Virginia,1971,111.5,0
75,Wisconsin,1971,105.4000015,0
76,Wyoming,1971,131.6999969,0
77,California,1971,121.0,0
78,Alabama,1972,101.0999985,0
79,Arkansas,1972,103.9000015,0
80,Colorado,1972,134.3000031,0
81,Connecticut,1972,110.8000031,0
82,Delaware,1972,156.3000031,0
83,Georgia,1972,117.0,0
84,Idaho,1972,126.0999985,0
85,Illinois,1972,126.5999985,0
86,Indiana,1972,149.1999969,0
87,Iowa,1972,109.4000015,0
88,Kansas,1972,111.0,0
89,Kentucky,1972,179.3999939,0
90,Louisiana,1972,125.3000031,0
91,Maine,1972,136.5,0
92,Minnesota,1972,96.80000305,0
93,Mississippi,1972,112.0999985,0
94,Missouri,1972,130.0,0
95,Montana,1972,122.1999969,0
96,Nebraska,1972,104.9000015,0
97,Nevada,1972,198.6000061,0
98,New Hampshire,1972,296.2000122,0
99,New Mexico,1972,99.30000305,0
100,North Carolina,1972,214.1000061,0
101,North Dakota,1972,103.8000031,0
102,Ohio,1972,124.4000015,0
103,Oklahoma,1972,121.6999969,0
104,Pennsylvania,1972,109.0,0
105,Rhode Island,1972,134.3999939,0
106,South Carolina,1972,118.6999969,0
107,South Dakota,1972,103.0,0
108,Tennessee,1972,111.5,0
109,Texas,1972,108.5999985,0
110,Utah,1972,71.30000305,0
111,Vermont,1972,138.0,0
112,Virginia,1972,137.0,0
113,West Virginia,1972,117.5,0
114,Wisconsin,1972,108.8000031,0
115,Wyoming,1972,140.0,0
116,California,1972,123.5,0
117,Alabama,1973,102.9000015,0
118,Arkansas,1973,108.0,0
119,Colorado,1973,137.8999939,0
120,Connecticut,1973,109.3000031,0
121,Delaware,1973,154.6999969,0
122,Georgia,1973,119.8000031,0
